1,J0007+7303,J0007+7303,1,54953,X,554,1,1,0.1,"Abdo+2012 [awd+12], also in Ray+2011 [rkp+11]"
2,J0007+7303,J0007+7303,2,55466,X,1260,X,X,X,Belfore+2011 [3rd Fermi symp.]
3,4U_0142+61,J0146+6145,1,51141,248,650,150,14,5,Morii+2005 [mks05]
4,4U_0142+61,J0146+6145,2,53809,X,1627,348,11.6,0.4,Gavriil et al. (2011) [gdk11]
5,B0144+59,J0147+5922,1,53682,15,0.056,0.003,-0.21,0.05,Yuan+2010 [ywml10]
6,B0154+61,J0157+6212,1,48512,5,4,1,-11,6,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]"
7,B0154+61,J0157+6212,2,58283,3,2.6,0.3,X,X,Basu+2021 [bsa+21]
8,J0205+6449,J0205+6449,1,52555,8,340,110,5,1,Livingstone+2009 [lrc+09]
9,J0205+6449,J0205+6449,2,52920,72,3800,400,12,1,Livingstone+2009 [lrc+09]
10,J0205+6449,J0205+6449,3,54907,18,1761,7,12,2,Basu+2021 [bsa+21]
11,J0205+6449,J0205+6449,4,55719,10,126,5,3,1,Basu+2021 [bsa+21]
12,J0205+6449,J0205+6449,5,55836,5,2933,5,13,1,Basu+2021 [bsa+21]
13,J0205+6449,J0205+6449,6,56854,28,84,14,3,2,Basu+2021 [bsa+21]
14,J0205+6449,J0205+6449,7,57345,12,527,7,5,1,Basu+2021 [bsa+21]
15,J0205+6449,J0205+6449,8,57696.75,0.08,43,2,X,X,Basu+2021 [bsa+21]
16,J0205+6449,J0205+6449,9,58320,97,3140,50,20,3,Basu+2021 [bsa+21]
17,J0215+6218,J0215+6218,1,55965,27,0.06,0.04,X,X,Basu+2021 [bsa+21]
18,B0355+54,J0358+5413,1,46082,4,6,1,6,5,"Espinoza+2011 [elsk11], also in Lyne (1987) [lyn87]"
19,B0355+54,J0358+5413,2,46470,18,4366,1,430,154,"Espinoza+2011 [elsk11], also in Lyne (1987) [lyn87]"
20,B0402+61,J0406+6138,1,53041,6,0.62,0.04,0.5,0.1,Yuan+2010 [ywml10]
21,B0410+69,J0415+6954,1,57120,60,0.011,0.006,X,X,Basu+2021 [bsa+21]
22,J0417+35,J0417+35,1,57053.63,0.06,24.54,0.03,3.4,0.1,Basu+2021 [bsa+21]
23,B0458+46,J0502+4654,1,52616,2,0.33,0.02,0.7,0.2,Espinoza+2011 [elsk11]
24,B0523+11,J0525+1115,1,56010.4,0.5,0.312,0.002,0.6,0.2,Basu+2021 [bsa+21]
25,B0525+21,J0528+2200,1,42051.5,0.3,1.9,0.2,13,5,"Espinoza+2011 [elsk11], also in Downs (1982) [dow82]"
26,B0525+21,J0528+2200,2,52296,1,2.3,0.2,7,2,"Janssen+2006 [js06], also in Yuan+2010 [ywml10]"
27,B0525+21,J0528+2200,3,53379,X,0.2,0.1,X,X,Janssen+2006 [js06]
28,B0525+21,J0528+2200,4,53980,12,0.5,0.1,0.1,0.1,Yuan+2010 [ywml10]
29,B0531+21,J0534+2200,1,40491.8,0.03,7.2,0.4,0.44,0.04,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]"
30,B0531+21,J0534+2200,2,41161.98,0.04,1.9,0.1,0.17,0.01,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]"
31,B0531+21,J0534+2200,3,41250.32,0.01,2.1,0.1,0.11,0.01,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]"
32,B0531+21,J0534+2200,4,42447.26,0.04,35.7,0.3,1.6,0.1,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]"
33,B0531+21,J0534+2200,5,46663.69,0.03,6,1,0.5,0.1,"Espinoza+2011 [elsk11], also in Lyne+1987 [lp87]"
34,B0531+21,J0534+2200,6,47767.504,0.003,81,0.4,3.4,0.1,"Espinoza+2011 [elsk11], also in Lyne+1992 [lsp92]"
35,B0531+21,J0534+2200,7,48945.6,0.1,4.2,0.2,0.32,0.03,"Espinoza+2011 [elsk11], also in Lyne+1993 [lps93] Wong+2001 [wbl01]"
36,B0531+21,J0534+2200,8,50020.04,0.02,2.1,0.1,0.2,0.01,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
37,B0531+21,J0534+2200,9,50260.031,0.004,31.9,0.1,1.73,0.03,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
38,B0531+21,J0534+2200,10,50458.94,0.03,6.1,0.4,1.1,0.1,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
39,B0531+21,J0534+2200,11,50489.7,0.2,0.8,0.3,-0.2,0.1,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
40,B0531+21,J0534+2200,12,50812.59,0.01,6.2,0.2,0.62,0.04,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
41,B0531+21,J0534+2200,13,51452.02,0.01,6.8,0.2,0.7,0.1,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]"
42,B0531+21,J0534+2200,14,51740.656,0.002,25.1,0.3,2.9,0.1,Espinoza+2011 [elsk11]
43,B0531+21,J0534+2200,15,51804.75,0.02,3.5,0.1,0.53,0.03,Espinoza+2011 [elsk11]
44,B0531+21,J0534+2200,16,52084.072,0.001,22.6,0.1,2.07,0.03,Espinoza+2011 [elsk11]
45,B0531+21,J0534+2200,17,52146.758,0.0003,8.9,0.1,0.57,0.01,Espinoza+2011 [elsk11]
46,B0531+21,J0534+2200,18,52498.257,0.002,3.4,0.1,0.7,0.02,Espinoza+2011 [elsk11]
47,B0531+21,J0534+2200,19,52587.2,0.01,1.7,0.1,0.5,0.1,Espinoza+2011 [elsk11]
48,B0531+21,J0534+2200,20,53067.078,0.0002,214,1,6.2,0.2,Espinoza+2011 [elsk11]
49,B0531+21,J0534+2200,21,53254.109,0.002,4.9,0.1,0.2,0.1,Espinoza+2011 [elsk11]
50,B0531+21,J0534+2200,22,53331.17,0.01,2.8,0.2,0.7,0.1,Espinoza+2011 [elsk11]
51,B0531+21,J0534+2200,23,53970.19,0.0003,21.8,0.2,3.1,0.1,Espinoza+2011 [elsk11]
52,B0531+21,J0534+2200,24,54580.38,0.01,4.7,0.1,0.2,0.1,Espinoza+2011 [elsk11]
53,B0531+21,J0534+2200,25,55875.49,0.03,39,4,0.23,0.02,Basu+2021 [bsa+21]
54,B0531+21,J0534+2200,26,57839.8,0.1,2.2,0.4,X,X,Basu+2021 [bsa+21]
55,B0531+21,J0534+2200,27,58064.555,0.003,516.37,0.1,6.969,0.021,Shaw+2018; also Basu+2019 [bkj+19]
56,B0531+21,J0534+2200,28,58237.357,0.005,4.08,0.22,0.46,0.11,Shaw+2018 (ATel #11625); also Basu+2019 [bkj+19]
57,B0531+21,J0534+2200,29,58470.7,0.2,2.3,0.6,X,X,Basu+2021 [bsa+21]
58,B0531+21,J0534+2200,30,58687.565,0.004,31.7,1.2,0.341,0.033,Shaw+2021 [skl+21] Also in Shaw+2019 [smk+19]
