Jname,RA_deg,RA_err,dec_deg,dec_err,F0,F0_err,F1,F1_err,F2,F2_err,binary_model,dist,MJD,dF_F,dF1_F1,E_naive,E_mountain,E_superfluid
J0007+7303,1.7571,9.0,73.0521,3.0,3.165827392,3.0,-3.61e-12,5.0,4.1e-23,7.0,*,1.4,54953.0,554.0,1.0,2.1920172443580728e+41,,6.071887766871861e+37
J0007+7303,1.7571,9.0,73.0521,3.0,3.165827392,3.0,-3.61e-12,5.0,4.1e-23,7.0,*,1.4,55466.0,1260.0,*,4.9854543824750386e+41,,*
J0146+6145,26.5934,5.0,61.75078,20.0,0.115088121,5.0,-2.64e-14,6.0,*,0.0,*,3.6,51141.0,650.0,14.0,3.398866388037104e+38,,7.890225543657563e+33
J0146+6145,26.5934,5.0,61.75078,20.0,0.115088121,5.0,-2.64e-14,6.0,*,0.0,*,3.6,53809.0,1627.0,11.6,8.507624020517489e+38,,5.966338052319809e+34
J0147+5922,26.9360142,5.0,59.3675789,3.0,5.093688845,4.0,-6.66e-15,2.0,3.39e-26,12.0,*,2.128,53682.0,0.056,-0.21,5.736045500261242e+37,,-7.648060667014989e+30
J0157+6212,29.4580975,5.0,62.2074022,3.0,0.425216181,11.0,-3.42e-14,9.0,*,0.0,*,1.786,48512.0,4.0,-11.0,2.8552181344028044e+37,,-5.191305698914191e+30
J0157+6212,29.4580975,5.0,62.2074022,3.0,0.425216181,11.0,-3.42e-14,9.0,*,0.0,*,1.786,58283.0,2.6,*,1.855891787361823e+37,,*
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,52555.0,340.0,5.0,3.108116988698372e+42,,1.0567597761574462e+38
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,52920.0,3800.0,12.0,3.4737778108981796e+43,,5.500148200588784e+39
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,54907.0,1761.0,12.0,1.6098217697346566e+43,,1.1812067235428042e+39
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,55719.0,126.0,3.0,1.1518315899293965e+42,,2.4188463388517327e+37
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,55836.0,2933.0,13.0,2.681207978780095e+43,,3.024608846831545e+39
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,56854.0,84.0,3.0,7.678877266195977e+41,,1.075042817267437e+37
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,57345.0,527.0,5.0,4.817581332482475e+42,,2.5388653622182644e+38
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,57696.75,43.0,*,3.9308538386479406e+41,,*
J0205+6449,31.4080103,7.0,64.8281484,3.0,15.2170109,2.0,-4.49e-11,9.0,5.85e-21,5.0,*,3.2,58320.0,3140.0,20.0,2.8704374542684957e+43,,2.2532934016007693e+39
J0215+6218,33.98595,4.0,62.30927,3.0,1.821892453,9.0,-2.2e-15,9.0,3.2e-26,6.0,*,2.004,55965.0,0.06,*,7.862424004872444e+36,,*
J0358+5413,59.7238492,9.0,54.2204956,9.0,6.394511093,3.0,-1.8e-13,2.0,4.1e-25,9.0,*,1.0,46082.0,6.0,6.0,9.685580996646939e+39,,4.84279049832347e+33
J0358+5413,59.7238492,9.0,54.2204956,9.0,6.394511093,3.0,-1.8e-13,2.0,4.1e-25,9.0,*,1.0,46470.0,4366.0,430.0,7.047874438560088e+42,,3.5780255579945743e+37
J0406+6138,61.6253358,9.0,61.6448356,3.0,1.681870312,2.0,-1.58e-14,8.0,*,0.0,*,4.545,53041.0,0.62,0.5,6.9236711997000155e+37,,4.2926761438140085e+31
J0417+35,64.43,7.0,35.75,9.0,1.52812,8.0,*,0.0,*,0.0,*,1.48,57053.63,24.54,3.4,2.2622948908477165e+39,,8.164223032559262e+33
J0502+4654,75.519004,17.0,46.90169,3.0,1.56601011,5.0,-1.37e-14,4.0,1.13e-26,5.0,*,1.319,52616.0,0.33,0.7,3.194940683607108e+37,,7.530931611359611e+30
J0525+1115,81.485201,5.0,11.2553,20.0,2.82137114,10.0,-5.86e-16,4.0,-3.3e-28,7.0,*,1.841,56010.4,0.312,0.6,9.804710387000237e+37,,2.549224700620062e+31
J0528+2200,82.21777,4.0,22.0011,6.0,0.266984253,2.0,-2.86e-15,1.0,*,0.0,*,1.215,42051.5,1.9,13.0,5.346685409559213e+36,,3.907193183908654e+29
J0528+2200,82.21777,4.0,22.0011,6.0,0.266984253,2.0,-2.86e-15,1.0,*,0.0,*,1.215,52296.0,2.3,7.0,6.472303390519046e+36,,1.0633069855852719e+30
J0528+2200,82.21777,4.0,22.0011,6.0,0.266984253,2.0,-2.86e-15,1.0,*,0.0,*,1.215,53379.0,0.2,*,5.628089904799172e+35,,*
J0528+2200,82.21777,4.0,22.0011,6.0,0.266984253,2.0,-2.86e-15,1.0,*,0.0,*,1.215,53980.0,0.5,0.1,1.407022476199793e+36,,3.5175561904994825e+30
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,40491.8,7.2,0.44,2.5491573578147376e+41,,2.085674201848422e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,41161.98,1.9,0.17,6.726943027566668e+40,,3.7591740448166676e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,41250.32,2.1,0.11,7.435042293626319e+40,,7.097085825734213e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,42447.26,35.7,1.6,1.263957189916474e+42,,1.4101022400005663e+37
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,46663.69,6.0,0.5,2.124297798178948e+41,,1.274578678907369e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,47767.504,81.0,3.4,2.86780202754158e+42,,3.4160582975127654e+37
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,48945.6,4.2,0.32,1.4870084587252638e+41,,9.758493010384544e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,50020.04,2.1,0.2,7.435042293626319e+40,,3.9033972041538166e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,50260.031,31.9,1.73,1.1294183293651405e+42,,1.0412845290967627e+37
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,50458.94,6.1,1.1,2.1597027614819304e+41,,5.9882667477453535e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,50489.7,0.8,-0.2,2.8323970642385976e+40,,-5.664794128477196e+34
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,50812.59,6.2,0.62,2.195107724784913e+41,,1.0975538623924571e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,51452.02,6.8,0.7,2.4075375046028078e+41,,1.1693753593785068e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,51740.656,25.1,2.9,8.8866457890486e+41,,3.845772574226204e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,51804.75,3.5,0.53,1.2391737156043862e+41,,4.091611325108822e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,52084.072,22.6,2.07,8.001521706474038e+41,,4.3679804484616737e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,52146.758,8.9,0.57,3.1510417339654395e+41,,2.460023809850212e+36
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,52498.257,3.4,0.7,1.2037687523014039e+41,,2.923438398446267e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,52587.2,1.7,0.5,6.0188437615070195e+40,,1.0232034394561934e+35
J0534+2200,83.63322,3.0,22.014461,17.0,29.946923,1.0,-3.78e-10,2.0,1.11e-20,5.0,*,2.0,53067.078,214.0,6.2,7.576662146838248e+42,,1.3075852414704718e+38
