delta,max_T_thres
-90.0,0
-88.0,0
-86.0,0
-84.0,0.24
-82.0,0.52
-80.0,0.61
-78.0,0.67
-76.0,0.72
-74.0,0.75
-72.0,0.77
-70.0,0.8
-68.0,0.81
-66.0,0.8300000000000001
-64.0,0.84
-62.0,1.55
-59.99999999999999,1.62
-58.00000000000001,1.6500000000000001
-56.0,1.68
-54.0,1.7
-52.0,1.71
-50.0,1.72
-48.00000000000001,1.73
-46.0,1.74
-44.0,1.74
-42.0,1.74
-40.0,1.73
-38.0,1.73
-36.0,1.73
-34.0,1.73
-32.0,1.73
-29.999999999999996,1.73
-28.0,1.73
-26.0,1.72
-24.000000000000004,1.7
-22.0,1.68
-20.0,1.6400000000000001
-18.0,0.87
-16.0,0.87
-14.0,0.86
-12.000000000000002,0.85
-10.0,0.85
-8.0,0.8300000000000001
-6.000000000000001,0.8200000000000001
-4.0,0.8
-2.0,0.77
0.0,0.71
2.0,0.77
4.0,0.8
6.000000000000001,0.8200000000000001
8.0,0.8200000000000001
10.0,0.84
12.000000000000002,0.85
14.0,0.86
16.0,0.86
18.0,0.87
20.0,1.6400000000000001
22.0,1.68
24.000000000000004,1.7
26.0,1.72
28.0,1.73
29.999999999999996,1.73
32.0,1.73
34.0,1.73
36.0,1.74
38.0,1.74
40.0,1.74
42.0,1.74
44.0,1.74
46.0,1.74
48.00000000000001,1.73
50.0,1.72
52.0,1.71
54.0,1.7
56.0,1.68
58.00000000000001,1.6500000000000001
59.99999999999999,1.62
62.0,0.81
64.0,0.8
66.0,0.79
68.0,0.77
70.0,0.76
72.0,0.73
74.0,0.71
76.0,0.72
78.0,0.67
80.0,0.61
82.0,0.52
84.0,0.35000000000000003
86.0,0
88.0,0
90.0,0
